Number of species	2
Number of genes	69920
Number of genes in orthogroups	62382
Number of unassigned genes	7538
Percentage of genes in orthogroups	89.2
Percentage of unassigned genes	10.8
Number of orthogroups	17957
Number of species-specific orthogroups	1811
Number of genes in species-specific orthogroups	10549
Percentage of genes in species-specific orthogroups	15.1
Mean orthogroup size	3.5
Median orthogroup size	2.0
G50 (assigned genes)	4
G50 (all genes)	3
O50 (assigned genes)	4033
O50 (all genes)	5218
Number of orthogroups with all species present	16146
Number of single-copy orthogroups	10034
Date	2021-05-22
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	0	0.0	0	0.0
'1	13713	76.4	30344	48.6
'2	2489	13.9	10780	17.3
'3	790	4.4	5048	8.1
'4	353	2.0	2962	4.7
'5	164	0.9	1718	2.8
'6	123	0.7	1533	2.5
'7	75	0.4	1083	1.7
'8	53	0.3	874	1.4
'9	31	0.2	571	0.9
'10	25	0.1	510	0.8
11-15	72	0.4	1815	2.9
16-20	24	0.1	868	1.4
21-50	33	0.2	2033	3.3
51-100	8	0.0	1006	1.6
101-150	3	0.0	694	1.1
151-200	0	0.0	0	0.0
201-500	1	0.0	543	0.9
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	1811
2	16146
