"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "color"
"Solyc00g500062.1" 16.7574331950866 -0.682471558486976 0.726946102226224 -0.937741340645317 0.348377353033359 0.526185334499766 "black"
"Solyc00g500063.1" 1268.43403443298 0.914428725157481 0.2516124639448 3.63414152319465 0.000278907745177024 0.0017667892053102 "black"
"Solyc00g500065.1" 19.2701367891642 -2.24982082032194 0.803842981262242 -2.78178857077071 0.00540602460847626 0.0213152718694278 "black"
"Solyc00g500066.1" 2.57779874526339 -1.25636925543692 1.06216643538026 -1.16400164524002 0.244423345031388 0.4140512478141 "black"
"Solyc00g500121.1" 1.30636183493796 -0.302680485980001 1.39518051562222 -0.197163200175228 0.843699827333368 0.913725843222037 "black"
"Solyc00g500140.1" 1.25835520755297 1.47498299072263 1.25544515528137 1.12855928933775 0.259083792538608 0.431574732914751 "black"
"Solyc00g500152.1" 9.74400177797573 0.849437573976749 0.600048238328301 1.40922344334032 0.158769107791722 0.302911499323014 "black"
"Solyc00g019730.1" 1.65052982369793 2.26455675626207 1.30193683407425 1.82264910435654 0.0683565533703582 0.161191877089494 "black"
"Solyc00g023590.2" 1.95356755149866 -2.21656859041228 1.09567591358792 -1.93935248048288 0.0524584325885846 0.132041430455967 "black"
"Solyc00g500183.1" 23.2756914783142 -0.499114246150987 0.459734479255397 -1.08560423975153 0.277654123220252 0.45247093345194 "black"
"Solyc00g500184.1" 6.79464330172025 -0.372446292781643 0.670229059416032 -0.55574470767972 0.578385388996903 0.728141134253363 "black"
"Solyc00g500185.1" 3.7749367663583 -0.695780182961574 0.892435688804254 -0.780526889245411 0.435080806595048 0.60832968108532 "black"
"Solyc00g014800.1" 8.63430413656765 0.381784682251363 0.797693919175902 0.476647299558256 0.63361329599254 0.770918741366991 "black"
"Solyc00g014790.2" 7.89289464943143 -1.10259386354733 0.633269722511126 -1.73625533802035 0.0825186964371475 0.186396777770257 "black"
"Solyc00g094550.1" 1.22408635766527 -0.748037307815798 1.31291554901537 -0.57512813942061 0.565204638226428 0.717762971069481 "black"
"Solyc00g094540.1" 2.88140632092587 0.657432885994173 1.08973727694644 0.600001977038153 0.548504917905422 0.7050289887223 "black"
"Solyc00g094530.1" 3.3542627301508 -0.47416822094928 1.08827489489272 -0.435282700298357 0.66335724039516 0.79247975236671 "black"
"Solyc00g094520.1" 1.57081041296433 0.411736431567569 1.3374335756007 0.335072087332586 0.737570708068131 0.845134820832231 "black"
"Solyc00g500228.1" 2.15834185528016 0.680707317053084 1.209895157206 0.560765022775618 0.574957733917543 0.725474491417931 "black"
"Solyc00g020040.1" 1.54994654041672 -0.505689809560609 1.29607043814108 -0.371873654176475 0.709986921582981 0.825198270994474 "black"
"Solyc00g020020.2" 4.26627614136788 -1.66655500863827 0.969686024085855 -1.70534176729264 0.0881307021039995 0.195921403582029 "black"
"Solyc00g020010.1" 5.10542075779567 -2.02292696556216 0.852113661082563 -2.33632826296568 0.0194741395892804 0.0602839606524703 "black"
"Solyc00g020000.1" 5.69064207275234 -0.632485170751348 0.714991428567094 -0.883881131790105 0.376760383655709 0.554430086472246 "black"
"Solyc00g019980.2" 7.57266804746735 -0.00937500328164877 0.659916262527312 -0.0150315164664562 0.988007036715649 0.997397628564665 "black"
"Solyc00g019970.2" 3.02475456471204 -1.31314441024067 0.99264471243481 -1.3170988557933 0.187805490521259 0.343244004118695 "black"
"Solyc00g019950.1" 1.20093476615793 -0.631682185599654 1.3240491269113 -0.475273033547802 0.634592377214611 0.771539914336363 "black"
"Solyc00g500245.1" 1.54555192942314 -0.529690501984921 1.32272198790806 -0.400608862189586 0.688708119883689 0.810856800269699 "black"
"Solyc00g021640.2" 9.94576264130359 -0.159136578521235 0.609314167078932 -0.261583020964141 0.793642935645327 0.88092303106961 "black"
"Solyc00g021630.1" 27.4227090569671 -0.0965161816184507 0.580094493966281 -0.166469416910685 0.867787549104494 0.928092311445062 "black"
"Solyc00g181250.2" 1.86497715090343 -1.35859723455778 1.10898593392297 -1.19255145741951 0.233045086631798 0.400569447498341 "black"
"Solyc00g500356.1" 2.6002836773077 -0.573257166872332 1.13443515090668 -0.49682222365186 0.619314421984247 0.759875909115929 "black"
