"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_03260" 5 6 4 1 2 1 0 0 0 0 0 0
"T459_03261" 2 1 0 2 1 0 0 0 0 0 0 0
"T459_03262" 21 31 35 14 10 4 0 0 1 0 0 0
"T459_03263" 115 118 137 52 57 29 11 30 20 2 5 2
"T459_03264" 58 56 57 22 24 24 7 16 10 6 17 2
"T459_03265" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03266" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03267" 0 0 0 0 0 0 0 1 0 0 0 0
"T459_03268" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03269" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03270" 0 0 0 0 1 0 0 0 0 0 0 0
"T459_03271" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03272" 1 2 0 2 2 5 1 4 0 1 5 1
"T459_03273" 11 16 22 3 1 2 0 0 0 0 0 0
"T459_03274" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03275" 35 32 26 31 27 35 52 39 47 40 73 43
"T459_03276" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03277" 10 9 23 15 14 31 29 25 23 26 22 13
"T459_03278" 0 0 0 2 0 0 1 1 1 1 1 0
"T459_03279" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03280" 122 78 72 68 72 210 87 89 81 70 69 68
"T459_03281" 21 21 52 80 79 137 205 154 190 206 152 123
"T459_03282" 138 115 114 193 251 302 411 436 456 454 355 389
"T459_03283" 1 7 3 8 13 30 27 29 28 29 12 22
"T459_03284" 35 20 18 27 25 62 52 39 53 47 36 62
"T459_03285" 1 0 0 0 0 1 0 1 1 1 1 0
"T459_03286" 28 22 25 120 127 201 454 371 432 1286 534 1091
"T459_03287" 1 2 0 1 1 1 0 0 1 0 0 4
"T459_03288" 23 26 25 31 28 38 34 31 41 42 41 50
"T459_03289" 229 236 227 140 138 110 2 20 17 1 2 2
"T459_03290" 3 6 2 68 52 75 69 61 49 17 24 24
"T459_03291" 449 368 323 324 276 292 329 333 328 308 281 330
"T459_03292" 77 97 122 146 190 221 22 26 39 9 4 6
"T459_03293" 82 107 64 91 58 71 103 100 78 88 109 129
"T459_03294" 292 177 153 162 189 353 292 317 286 332 288 319
"T459_03295" 47 25 20 31 20 12 60 58 17 37 30 39
"T459_03296" 1 1 7 26 25 38 91 68 89 43 16 4
"T459_03297" 1 4 10 41 48 41 107 90 99 67 17 17
"T459_03298" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03299" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03300" 13 13 6 5 3 2 4 4 4 2 2 1
"T459_03301" 6 0 1 1 0 2 0 0 1 0 0 0
"T459_03302" 1 1 0 4 0 2 4 7 4 4 12 6
"T459_03303" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03304" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03305" 546 678 571 523 452 412 703 726 679 1170 1108 1367
"T459_03306" 0 0 0 0 0 0 2 1 0 1 7 1
"T459_03307" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03308" 89 106 54 100 80 52 90 103 83 97 70 71
"T459_03309" 54 40 63 4 2 2 3 2 3 0 0 0
"T459_03310" 1 2 0 0 0 0 0 0 0 0 0 0
"T459_03311" 55 89 62 103 77 50 97 104 114 149 109 107
"T459_03312" 5 0 0 0 2 0 2 1 0 2 1 1
"T459_03313" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03314" 155 178 138 175 166 150 154 148 145 171 130 110
"T459_03315" 2 0 0 0 0 0 0 0 0 0 0 0
"T459_03316" 0 0 0 1 0 0 0 0 1 0 0 0
"T459_03317" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03318" 1 1 18 62 78 85 5 1 7 0 1 0
"T459_03319" 0 0 0 0 0 1 0 0 0 0 0 0
"T459_03320" 111 118 55 78 60 81 103 112 62 119 101 96
"T459_03321" 121 109 76 105 94 182 231 189 184 275 216 279
"T459_03322" 25 36 30 35 26 42 36 41 29 37 42 33
"T459_03323" 10 11 6 14 14 16 25 20 13 8 3 7
"T459_03324" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03325" 3 0 6 5 4 7 8 6 10 8 20 35
"T459_03326" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03327" 82 72 66 87 70 136 119 149 136 158 131 174
"T459_03328" 534 410 534 208 179 307 161 165 137 174 168 163
"T459_03329" 466 420 247 452 408 449 617 655 621 568 404 621
"T459_03330" 299 391 302 396 350 405 131 170 130 42 122 32
"T459_03331" 453 557 433 380 398 375 119 171 168 103 126 70
"T459_03332" 0 0 1 3 4 2 2 3 2 4 2 17
"T459_03333" 3 0 6 14 33 58 55 56 41 59 48 190
"T459_03334" 1 2 4 8 5 11 17 13 19 15 16 40
"T459_03335" 0 3 9 23 27 41 50 60 39 42 48 137
"T459_03336" 5 1 1 0 0 0 0 0 0 0 2 0
"T459_03337" 0 1 0 0 0 0 0 2 1 1 0 2
"T459_03338" 0 0 0 0 0 0 0 0 0 1 0 0
"T459_03339" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03340" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03341" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03342" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03343" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03344" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03345" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03346" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03347" 0 0 0 0 0 0 1 0 0 0 0 0
"T459_03348" 25 18 29 33 41 36 29 51 36 54 55 29
"T459_03349" 6 5 6 11 7 13 12 18 13 27 16 20
"T459_03350" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03351" 54 67 50 95 111 131 186 169 170 184 140 143
"T459_03352" 0 0 0 0 0 0 0 0 0 1 0 0
"T459_03353" 50 33 34 46 48 117 105 140 110 100 51 69
"T459_03354" 91 96 113 82 70 88 110 93 79 66 191 136
"T459_03355" 52 94 64 62 33 40 76 69 47 87 62 47
"T459_03356" 41 57 36 63 57 38 76 75 90 100 77 103
"T459_03357" 2 2 1 5 4 2 0 3 0 0 1 1
"T459_03358" 1234 935 894 948 752 1237 1020 1000 925 948 935 847
"T459_03359" 2 1 8 3 4 8 17 14 20 9 10 9
"T459_03360" 15 8 19 9 12 8 10 24 18 19 20 32
"T459_03361" 1 5 0 0 0 1 0 2 0 2 1 0
"T459_03362" 131 104 80 105 97 140 141 135 132 122 97 118
"T459_03363" 176 167 147 185 183 217 304 283 220 322 237 254
"T459_03364" 420 423 264 405 374 469 1376 1083 763 1225 1464 1485
"T459_03365" 260 237 190 239 209 356 404 387 381 420 360 316
"T459_03366" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03367" 1 1 0 3 0 0 0 0 0 0 0 0
"T459_03368" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03369" 41 46 51 28 33 28 47 55 33 46 38 58
"T459_03370" 482 635 517 1110 1286 1388 1998 2119 2021 1056 2372 721
"T459_03371" 1 0 0 1 0 0 0 0 0 0 0 0
"T459_03372" 402 451 492 260 212 238 62 72 85 28 43 12
"T459_03373" 8 4 10 6 5 9 4 14 8 6 14 7
"T459_03374" 0 0 0 0 0 1 0 0 0 0 1 0
"T459_03375" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03376" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03377" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03378" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03379" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03380" 220 268 119 105 116 136 182 226 150 160 113 192
"T459_03381" 185 185 124 242 212 192 279 299 210 464 255 308
"T459_03382" 44 48 46 92 86 95 111 123 135 115 96 71
"T459_03383" 314 255 233 120 105 173 38 43 28 8 7 6
"T459_03384" 23 21 36 36 39 55 48 52 44 54 63 48
"T459_03385" 922 926 608 542 495 568 697 666 655 884 790 888
"T459_03386" 8 24 16 3 3 1 4 3 4 0 3 0
"T459_03387" 16 9 26 2 2 0 0 1 1 0 0 0
"T459_03388" 2 2 3 0 1 1 0 0 1 0 0 0
"T459_03389" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03390" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03391" 50 72 48 532 492 542 648 711 490 758 762 517
"T459_03392" 50 42 39 28 34 21 18 16 8 7 12 8
"T459_03393" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03394" 75 70 36 75 78 71 76 88 74 48 39 34
"T459_03395" 4 9 10 9 6 7 11 7 6 5 2 5
"T459_03396" 40 15 23 7 16 34 31 28 31 28 19 14
"T459_03397" 402 229 437 204 187 399 608 530 386 582 786 955
"T459_03398" 6 13 13 19 19 41 25 19 18 19 22 35
"T459_03399" 32 53 18 35 22 29 21 23 13 25 15 9
"T459_03400" 2 2 3 2 1 1 2 3 0 4 0 1
"T459_03401" 10 12 11 18 15 29 37 30 18 33 29 31
"T459_03402" 6 6 9 0 0 0 0 0 0 0 0 0
"T459_03403" 12 10 6 3 1 2 0 0 0 0 0 0
"T459_03404" 2 1 0 3 0 6 6 4 2 5 7 6
"T459_03405" 0 0 0 0 0 2 0 0 1 1 0 0
"T459_03406" 46 26 33 59 61 91 81 70 55 82 50 104
"T459_03407" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03408" 27 14 18 16 19 39 21 30 23 27 18 19
"T459_03409" 530 473 512 506 433 450 696 672 594 890 563 989
"T459_03410" 0 1 0 0 0 1 0 0 0 0 0 0
"T459_03411" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03412" 0 0 0 0 0 0 0 0 0 2 0 0
"T459_03413" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03414" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03415" 92 111 118 123 115 78 145 159 117 112 117 133
"T459_03416" 15 14 8 5 8 12 28 10 9 13 17 13
"T459_03417" 72 74 67 184 117 188 15 23 29 5 0 1
"T459_03418" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03419" 19 10 6 5 7 15 0 2 0 0 0 0
"T459_03420" 7 8 9 26 31 62 75 51 58 60 51 58
"T459_03421" 571 805 367 1151 1088 840 758 907 856 785 658 777
"T459_03422" 19 25 30 24 19 50 45 50 63 44 64 57
"T459_03423" 153 127 35 101 124 189 62 64 61 39 22 48
"T459_03424" 271 224 131 167 169 212 171 195 177 137 142 145
"T459_03425" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03426" 488 379 356 424 391 547 467 431 409 383 273 281
"T459_03427" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03428" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03429" 220 257 198 169 205 221 573 463 474 737 582 942
"T459_03430" 0 0 0 0 0 0 2 0 0 2 5 6
"T459_03431" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03432" 415 358 223 293 305 282 500 410 314 301 341 417
"T459_03433" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03434" 7 2 5 5 10 11 13 17 10 16 7 6
"T459_03435" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03436" 15 21 5 37 71 77 466 359 474 292 640 449
"T459_03437" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03438" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03439" 322 270 223 248 225 289 317 272 264 312 274 327
"T459_03440" 16 20 14 8 17 15 23 32 17 30 30 19
"T459_03441" 904 973 871 951 724 764 841 816 724 678 707 878
"T459_03442" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03443" 20 22 21 12 15 19 27 35 26 35 19 19
"T459_03444" 0 2 0 1 0 0 0 0 0 0 0 0
"T459_03445" 64 60 56 36 42 71 69 60 55 95 74 133
"T459_03446" 54 58 67 77 97 74 119 111 118 135 155 109
"T459_03447" 26 19 26 25 11 17 41 25 37 33 43 33
"T459_03448" 13 14 13 10 16 17 37 42 29 29 26 20
"T459_03449" 5 4 8 10 13 22 37 41 29 45 17 14
"T459_03450" 25 18 21 20 13 31 33 28 30 33 15 22
"T459_03451" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03452" 32 25 24 43 53 45 66 73 84 102 61 60
"T459_03453" 20 27 33 26 32 27 43 37 44 40 40 37
"T459_03454" 71 66 39 18 28 19 7 17 17 9 2 1
"T459_03455" 472 333 292 268 197 503 487 435 414 496 502 697
"T459_03456" 0 0 0 0 0 0 0 0 0 0 2 0
"T459_03457" 191 149 160 206 213 478 348 381 351 319 230 283
"T459_03458" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03459" 40 37 34 33 32 68 54 77 50 89 48 77
"T459_03460" 321 256 231 267 233 374 477 450 344 567 519 548
"T459_03461" 47 29 49 22 27 28 18 20 21 7 10 11
"T459_03462" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03463" 65 58 40 113 97 180 200 188 142 162 78 100
"T459_03464" 0 0 0 1 0 0 0 0 0 0 0 0
"T459_03465" 21 27 5 103 110 122 188 157 168 7 23 25
"T459_03466" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03467" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03468" 75 85 86 140 148 235 440 448 419 457 179 316
"T459_03469" 2 6 1 2 0 0 0 2 0 0 0 0
"T459_03470" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03471" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03472" 12 20 18 12 17 29 12 25 30 20 31 64
"T459_03473" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03474" 15 5 11 9 9 34 29 21 17 22 16 23
"T459_03475" 1 1 1 0 0 0 0 0 0 0 0 1
"T459_03476" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03477" 238 178 156 172 128 148 156 175 131 156 82 121
"T459_03478" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03479" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03480" 8 1 2 0 4 8 6 6 13 11 18 11
"T459_03481" 48 20 32 41 48 145 187 129 161 153 80 134
"T459_03482" 25 16 28 20 20 49 94 93 122 109 50 90
"T459_03483" 2 0 0 0 0 0 0 0 0 0 0 0
"T459_03484" 45 42 69 2 1 3 1 2 0 1 4 4
"T459_03485" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03486" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03487" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03488" 428 470 475 443 427 552 960 816 859 1030 1044 858
"T459_03489" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03490" 1 0 0 0 0 0 0 0 0 0 0 1
"T459_03491" 119 110 148 100 101 113 83 101 105 78 67 63
"T459_03492" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03493" 0 0 0 0 0 0 0 0 2 0 0 0
"T459_03494" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03495" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03496" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03497" 8 14 10 28 15 14 17 43 28 33 32 21
"T459_03498" 56 33 24 34 21 44 33 36 20 34 44 35
"T459_03499" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03500" 33 33 13 48 63 55 22 44 54 12 4 2
"T459_03501" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03502" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03503" 29 41 32 34 25 40 31 37 47 35 27 28
"T459_03504" 10 2 5 4 6 11 10 11 7 5 5 1
"T459_03505" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03506" 0 0 0 0 1 0 0 0 0 0 0 0
"T459_03507" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03508" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03509" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03510" 4 0 3 2 1 2 129 99 39 150 252 297
"T459_03511" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03512" 0 0 0 1 0 0 2 3 4 4 1 4
"T459_03513" 20 45 38 157 151 148 248 290 188 337 219 308
"T459_03514" 0 3 0 0 0 0 0 0 0 0 0 0
"T459_03515" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03516" 1 2 3 3 2 3 6 4 5 4 13 8
"T459_03517" 9 3 11 6 9 16 21 25 16 26 33 19
"T459_03518" 16 14 32 22 25 39 46 31 25 11 16 9
"T459_03519" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03520" 3 0 5 2 3 13 18 11 11 2 4 4
"T459_03521" 518 474 263 334 237 308 124 175 151 32 34 21
"T459_03522" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03523" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03524" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03525" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03526" 3 0 4 1 8 7 7 6 4 5 4 8
"T459_03527" 1 0 0 0 0 3 1 0 0 1 1 3
"T459_03528" 0 1 0 0 0 0 0 1 0 0 1 0
"T459_03529" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03530" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03531" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03532" 59 56 60 44 45 84 71 63 67 63 63 65
"T459_03533" 3 3 1 1 1 0 0 1 0 0 9 0
"T459_03534" 179 202 106 139 127 154 145 132 102 242 180 276
"T459_03535" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03536" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03537" 111 101 162 37 32 22 20 17 10 8 4 3
"T459_03538" 107 123 107 127 107 134 187 213 164 199 157 184
"T459_03539" 18 25 9 1273 987 1536 3227 2483 2329 2745 2545 3898
"T459_03540" 821 1159 644 1257 1452 1361 3386 3105 2445 2064 1674 1299
"T459_03541" 0 1 0 1 0 0 0 0 1 2 1 0
"T459_03542" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_03543" 2 1 0 2 5 1 2 1 2 4 5 1
"T459_03544" 528 478 539 629 590 785 813 860 748 707 755 558
"T459_03545" 16 11 10 9 11 17 20 16 16 4 10 6
"T459_03546" 0 0 0 0 0 0 0 0 0 0 1 0
"T459_03547" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03548" 6 6 13 6 6 13 15 6 15 11 17 14
"T459_03549" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03550" 0 0 2 0 1 3 0 0 0 0 3 0
"T459_03551" 0 0 1 0 0 0 0 0 0 0 1 0
"T459_03552" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03553" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03554" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03555" 20 5 12 3 6 6 3 2 1 0 0 0
"T459_03556" 104 116 92 272 219 228 207 304 200 70 97 39
"T459_03557" 79 60 40 60 55 61 61 47 52 51 36 38
"T459_03558" 0 0 0 0 0 3 3 0 0 0 0 0
"T459_03559" 3 1 1 15 6 10 2 2 1 1 1 1
"T459_03560" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_03561" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03562" 6 5 2 4 2 6 2 3 1 0 0 0
"T459_03563" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03564" 186 144 133 128 119 189 170 163 175 178 180 217
"T459_03565" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03566" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03567" 110 64 53 56 54 80 103 105 102 94 60 120
"T459_03568" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03569" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03570" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03571" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03572" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03573" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03574" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03575" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03576" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03577" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03578" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03579" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03580" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03581" 7 7 2 0 0 0 0 0 0 0 0 1
"T459_03582" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03583" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03584" 0 0 0 0 0 0 0 0 0 0 2 1
"T459_03585" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03586" 1 2 5 2 3 6 14 18 8 22 4 17
"T459_03587" 1 0 1 3 8 12 13 13 15 19 6 17
"T459_03588" 92 106 60 30 21 20 16 15 19 6 36 5
"T459_03589" 109 86 119 101 92 76 107 92 75 63 75 60
"T459_03590" 39 29 349 143 162 157 151 121 99 90 87 13
"T459_03591" 68 73 63 34 47 39 19 41 27 7 15 5
"T459_03592" 44 42 69 17 9 17 4 2 5 7 1 7
"T459_03593" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_03594" 4 2 2 9 0 1 0 0 0 0 0 1
"T459_03595" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03596" 31 25 9 28 3 6 0 0 0 4 4 5
"T459_03597" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03598" 167 107 124 15 5 6 0 1 1 0 0 1
"T459_03599" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_03600" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03601" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03602" 219 68 105 87 131 522 382 305 303 362 271 413
"T459_03603" 156 171 108 182 218 197 266 243 233 212 136 153
"T459_03604" 32 30 22 22 23 44 31 33 35 31 39 30
"T459_03605" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03606" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03607" 110 83 74 146 147 259 218 187 201 203 138 161
"T459_03608" 88 80 127 151 174 222 236 253 249 205 215 182
"T459_03609" 895 1082 480 921 879 849 273 426 482 110 89 85
"T459_03610" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03611" 366 236 169 203 188 193 257 233 170 230 195 267
"T459_03612" 101 95 54 86 88 110 107 113 99 118 93 96
"T459_03613" 1 1 0 2 0 0 1 0 0 5 1 6
"T459_03614" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03615" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03616" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03617" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03618" 0 0 0 0 0 0 1 0 0 0 0 0
"T459_03619" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03620" 3 1 1 3 8 8 31 17 16 11 6 30
"T459_03621" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03622" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03623" 0 0 0 0 0 0 0 0 0 1 0 0
"T459_03624" 1 1 1 4 10 16 5 9 4 3 1 0
"T459_03625" 93 72 36 58 84 91 36 61 47 9 6 10
"T459_03626" 1 0 0 1 0 0 0 0 0 1 0 0
"T459_03627" 228 182 176 181 154 197 333 315 244 465 469 486
"T459_03628" 51 34 102 6 7 3 0 2 0 0 0 1
"T459_03629" 134 102 265 9 14 8 0 1 1 1 0 0
"T459_03630" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03631" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03632" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03633" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03634" 8 8 12 2 1 3 1 1 3 4 3 0
"T459_03635" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03636" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03637" 6 6 7 6 3 18 10 18 26 9 10 10
"T459_03638" 0 0 0 0 0 0 0 0 0 0 0 1
"T459_03639" 11 6 9 2 12 18 23 19 11 26 16 35
"T459_03640" 836 597 341 384 309 460 137 160 107 56 87 120
"T459_03641" 0 0 0 0 0 0 0 1 0 0 2 0
"T459_03642" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03643" 0 0 0 0 0 0 0 0 0 0 3 0
"T459_03644" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03645" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03646" 0 0 0 0 0 0 0 0 0 0 1 0
"T459_03647" 2 1 1 4 0 2 14 9 3 4 5 16
"T459_03648" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03649" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03650" 0 0 0 0 0 0 0 0 0 0 4 0
"T459_03651" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_03652" 79 52 62 87 106 155 198 151 170 161 214 167
"T459_03653" 195 241 146 321 295 249 356 328 272 187 156 230
"T459_03654" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03655" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03656" 0 1 0 1 0 0 0 0 0 0 0 0
"T459_03657" 130 97 109 94 68 84 138 162 119 177 190 298
"T459_03658" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03659" 0 0 1 0 0 0 0 1 2 0 1 1
"T459_03660" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03661" 0 0 0 1 0 0 0 0 0 0 0 0
"T459_03662" 291 143 131 221 241 432 781 667 604 643 460 581
"T459_03663" 51 54 48 50 29 44 49 45 48 48 44 70
"T459_03664" 0 0 0 0 0 0 0 0 0 0 0 1
"T459_03665" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03666" 3 0 2 2 1 1 0 3 1 2 1 0
"T459_03667" 2 0 3 7 1 2 0 0 0 0 2 1
"T459_03668" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03669" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03670" 0 0 0 1 0 0 1 1 2 0 0 2
"T459_03671" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03672" 3 2 2 4 2 1 0 0 0 2 0 1
"T459_03673" 3 9 1 3 3 9 14 6 9 15 12 9
"T459_03674" 3 0 3 1 1 3 5 3 9 5 6 3
"T459_03675" 0 0 0 0 0 1 0 0 0 0 0 0
"T459_03676" 83 85 74 137 149 156 140 150 146 178 105 95
"T459_03677" 0 0 0 0 0 0 1 0 0 0 0 0
"T459_03678" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03679" 0 0 0 0 0 1 1 0 0 0 0 0
"T459_03680" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03681" 263 274 282 331 277 427 314 284 237 253 118 156
"T459_03682" 396 209 235 183 234 330 345 356 293 289 299 282
"T459_03683" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03684" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03685" 0 0 0 0 1 0 33 11 9 50 40 108
"T459_03686" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03687" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03688" 12 12 11 15 12 13 37 36 23 120 169 60
"T459_03689" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03690" 291 187 70 53 72 79 27 30 16 0 1 0
"T459_03691" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_03692" 0 0 0 0 0 0 0 0 0 0 0 0
