"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_00097" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00098" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00099" 86 60 310 61 60 77 227 167 108 165 287 619
"T459_00100" 141 118 207 30 27 24 1 4 6 1 2 1
"T459_00101" 90 107 30 112 85 81 69 52 61 23 17 22
"T459_00102" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00103" 1 0 0 0 0 1 0 3 2 0 0 0
"T459_00104" 149 138 13 293 293 365 481 582 227 5 5 34
"T459_00105" 853 833 394 1213 1144 978 1877 1928 1628 2140 2285 2044
"T459_00106" 132 181 61 139 163 145 650 634 757 825 649 1506
"T459_00107" 0 1 0 1 0 1 3 0 1 0 1 2
"T459_00108" 121 95 102 88 83 68 92 99 94 131 92 97
"T459_00109" 66 74 59 41 40 67 91 75 109 46 67 92
"T459_00110" 46 37 34 73 37 52 75 64 53 61 34 39
"T459_00111" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00112" 1 0 0 0 0 0 0 0 0 0 0 0
"T459_00113" 76 83 81 86 60 89 58 76 54 55 64 51
"T459_00114" 219 208 138 181 123 184 312 323 290 388 312 339
"T459_00115" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00116" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_00117" 3 3 0 3 2 7 2 3 7 5 6 3
"T459_00118" 41 26 18 16 23 27 28 29 22 26 20 26
"T459_00119" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00120" 7 3 3 1 3 0 0 1 0 0 0 0
"T459_00121" 0 0 0 0 0 0 0 0 0 0 0 1
"T459_00122" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00123" 77 60 55 75 86 103 117 102 94 93 67 66
"T459_00124" 2 2 3 2 2 7 5 5 2 5 3 11
"T459_00125" 9 4 2 2 2 12 5 5 8 3 7 2
"T459_00126" 8 6 4 2 7 9 8 4 5 7 3 5
"T459_00127" 56 85 65 174 115 73 166 186 222 41 59 51
"T459_00128" 0 0 0 0 0 0 0 0 0 2 0 0
"T459_00129" 0 0 0 1 0 0 1 0 0 4 4 0
"T459_00130" 326 417 196 375 357 386 771 838 724 1041 860 1518
"T459_00131" 253 211 160 135 185 239 299 276 271 259 235 300
"T459_00132" 13 14 16 25 40 52 55 54 40 45 21 38
"T459_00133" 296 295 232 196 158 210 269 281 213 203 202 270
"T459_00134" 4 2 4 22 26 42 63 38 63 83 42 54
"T459_00135" 68 56 69 46 47 59 34 33 25 16 22 13
"T459_00136" 3 2 3 4 2 2 1 0 0 1 2 0
"T459_00137" 54 61 85 4 6 14 6 4 1 3 3 2
"T459_00138" 239 174 201 189 161 223 190 173 157 179 174 132
"T459_00139" 3 0 2 2 1 2 1 2 1 4 2 1
"T459_00140" 1 0 0 0 0 0 0 0 0 1 0 1
"T459_00141" 12 0 10 4 6 15 8 7 7 4 6 4
"T459_00142" 201 189 178 178 138 173 175 182 186 167 109 111
"T459_00143" 116 95 94 103 81 124 173 160 146 202 147 202
"T459_00144" 382 333 278 219 254 275 538 588 554 486 650 837
"T459_00145" 23 16 15 20 24 30 24 36 30 35 39 31
"T459_00146" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00147" 1416 1935 718 839 779 489 125 126 119 47 191 208
"T459_00148" 826 539 236 234 239 319 51 25 32 13 72 86
"T459_00149" 127 136 198 142 100 147 313 269 228 344 807 212
"T459_00150" 89 53 46 57 55 62 42 55 47 13 9 12
"T459_00151" 4 13 27 115 126 61 342 403 462 85 139 20
"T459_00152" 45 51 74 259 250 384 436 371 492 218 280 146
"T459_00153" 562 481 428 366 273 508 135 135 198 41 82 22
"T459_00154" 4 0 4 0 2 1 1 2 3 0 2 0
"T459_00155" 1 0 0 0 0 0 0 0 0 0 0 0
"T459_00156" 374 434 491 57 38 22 13 14 1 18 32 14
"T459_00157" 20 27 35 25 18 19 18 20 16 14 6 8
"T459_00158" 8 40 40 12 20 4 13 8 12 6 7 2
"T459_00159" 1 0 0 1 0 0 1 0 3 1 0 0
"T459_00160" 1 0 1 0 1 0 0 0 0 3 1 0
"T459_00161" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00162" 21 28 2 29 82 33 13 27 31 0 1 0
"T459_00163" 32 37 85 10 20 5 3 6 12 1 2 0
"T459_00164" 72 54 44 40 31 41 14 17 19 19 16 21
"T459_00165" 14 15 13 7 4 11 1 5 4 1 2 2
"T459_00166" 35 57 67 77 100 63 130 122 113 52 73 78
"T459_00167" 1 4 12 4 5 12 9 10 6 17 5 9
"T459_00168" 20 15 23 36 44 44 38 31 65 60 31 69
"T459_00169" 510 473 536 506 471 451 554 672 452 729 592 622
"T459_00170" 42 60 73 50 62 87 104 76 102 96 83 47
"T459_00171" 0 0 0 0 1 0 0 1 0 0 0 0
