"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "color"
"T459_00010" 19.7810504134391 -0.0799156837324338 0.642832615046939 -0.13533929540096 0.892343617635228 0.948925471843393 "black"
"T459_00011" 34.0109490879418 -0.0707510527583025 0.337677667677039 -0.21054090789695 0.83324552720547 0.918523702162975 "black"
"T459_00012" 1.78132762480886 -1.34014260069595 1.08490021930279 -1.2012666792282 0.22964777138125 0.439681829035949 "black"
"T459_00013" 400.689621064936 0.260848647239265 0.170821132832535 1.52699363147231 0.126762594997698 0.296449447282798 "black"
"T459_00014" 18.4615504834686 5.19967440912821 0.714280818081867 6.55786507201892 5.45835611455287e-11 2.42422764524273e-09 "red"
"T459_00015" 48.7906726370684 -0.457532848268438 0.349113427213974 -1.31051016465777 0.190023307857104 0.389559105499665 "black"
"T459_00016" 417.747643508521 -0.432098690624399 0.154076930216626 -2.8040731868914 0.00504614492389801 0.0261713437390763 "black"
"T459_00017" 167.483251695482 0.716176423429524 0.263041272633153 2.7225890654187 0.0064772571204067 0.0318961021492875 "black"
"T459_00018" 1513.34265504906 -0.332898975401754 0.232159549436563 -1.43393420148517 0.151591040645908 0.333616667328205 "black"
"T459_00019" 106.607535149945 1.82046415107026 0.265713116400403 6.8435433265972 7.72579435118115e-12 3.99377128755048e-10 "red"
"T459_00020" 474.514071599981 -0.807445931184776 0.241502637716419 -3.34353919652034 0.000827170078761591 0.00599619076251697 "black"
"T459_00021" 216.859370689786 -0.279223159317365 0.163343119536043 -1.70959484558152 0.0873408194578282 0.229604344048893 "black"
"T459_00022" 119.538987448108 0.900905927873641 0.312360485316421 2.88648868542747 0.00389566754048583 0.0213516888371935 "black"
"T459_00023" 3.45279371017239 -3.70595555103511 1.05167384272211 -3.16945191738397 0.00152726725485895 0.0100055043150732 "black"
"T459_00024" 4.43637709878305 2.48642188737589 0.860991847176385 2.74162500987183 0.00611360921780683 0.0305116028490913 "black"
"T459_00025" 52.0141434859049 0.135539895265396 0.28768765960468 0.471128298707247 0.637549117694226 0.803273684040536 "black"
"T459_00026" 82.7263961163185 0.631758977499551 0.232356870205598 2.71902162843268 0.00654753266459838 0.0321263791530605 "black"
"T459_00027" 23.4091403155851 3.4487504914301 0.664267882491555 5.09111298161313 3.55967829748396e-07 7.40100147125236e-06 "red"
"T459_00028" 2.41994621454218 1.71635601372576 0.991563461576795 1.66312238290776 0.09628794029553 0.245819434677024 "black"
