"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "color"
"T459_00010" 19.7810504134391 -1.18867196634024 0.495991332710374 -2.3879328444274 0.0169434375283108 0.0791707614179253 "black"
"T459_00011" 34.0109490879418 -0.0369104014511246 0.298571884594618 -0.123881546763576 0.901409063938189 0.967845946721622 "black"
"T459_00013" 400.689621064936 -0.721486882794926 0.165854286664085 -4.34997977415774 1.36150089311135e-05 0.000240264863490238 "black"
"T459_00014" 18.4615504834686 -0.25696791530552 0.758041866206509 -0.342497291323573 0.731976682089589 0.883055826756164 "black"
"T459_00015" 48.7906726370684 -0.18523461575363 0.335858627718873 -0.551509741003642 0.58128429097405 0.794827111586076 "black"
"T459_00016" 417.747643508521 0.444253216494261 0.156856518268827 2.83252200787582 0.00461823869644349 0.0293771233664256 "black"
"T459_00017" 167.483251695482 -1.42302091454639 0.259577367615827 -5.48110117413704 4.22686663502874e-08 1.50232006907648e-06 "blue"
"T459_00018" 1513.34265504906 0.284898556717028 0.231512060677787 1.23059117820777 0.218475806334656 0.464116871354226 "black"
"T459_00019" 106.607535149945 0.514726095091591 0.368389508637478 1.41133063862717 0.158147144385579 0.378220341965715 "black"
"T459_00020" 474.514071599981 0.0899402576742247 0.237873110079444 0.378072300767596 0.705376884592037 0.867810808754185 "black"
"T459_00021" 216.859370689786 -0.0436139954543776 0.154829861581333 -0.281720643699524 0.778157723988033 0.907233247507358 "black"
"T459_00022" 119.538987448108 -2.35207009926808 0.266091715231432 -8.83102282547991 1.03722817298117e-18 2.1855879359246e-16 "blue"
"T459_00023" 3.45279371017239 2.68857118255138 1.09426572262322 2.57840388716465 0.00992579078529678 0.0533677086572761 "black"
"T459_00024" 4.43637709878305 0 1.19784440968445 0 1 1 "black"
"T459_00025" 52.0141434859049 -0.162669473518504 0.275128987934015 -0.591239104172556 0.554360225157868 0.77709327000035 "black"
"T459_00026" 82.7263961163185 -0.760697492424733 0.211492428344252 -3.59606553537571 0.000323066442422175 0.0035298000190571 "black"
"T459_00027" 23.4091403155851 2.84794619512279 0.997103696007663 3.22907444952904 0.00124191559499217 0.0105580720611727 "black"
"T459_00028" 2.41994621454218 1.19248906721335 1.05368937556379 1.14971520181207 0.250261191036149 0.503080418096518 "black"
"T459_00029" 11.1495446883082 -0.668554258597017 1.1360762495047 -0.61597234199366 0.537912774162867 0.76720838861263 "black"
"T459_00031" 424.515678029583 5.89395540214685 0.365959367121847 15.7211224420723 1.08386377161723e-55 3.836877751525e-52 "red"
