"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ortho_3719" 496.614887051606 0.550092187832289 0.188137737505711 2.92386619062104 0.00345713323660625 0.0183197773764592
"ortho_2173" 0.632646483790973 0.484905174197502 1.13243951126903 0.389279011289443 0.697069760816811 NA
"ortho_3198" 4.44818615299949 1.40052490485281 0.740877451161929 1.84429130916741 0.0651406973834969 0.176348185675947
"ortho_7974" 60.3964770515776 0.0878391925727172 0.247878604702303 0.355055479540844 0.722548028637025 0.845920896858308
"ortho_1213" 104.022975937284 0.735573446796617 0.230165864827432 3.19513442168745 0.00139765726969636 0.00881919654231652
"ortho_8997" 66.2997379863921 -0.444396984951877 0.332961818335855 -1.33807318669151 0.180872580419148 0.361970874221116
"ortho_4560" 5.05063388207493 -0.242821544189348 0.686192443297626 -0.350369492139362 0.726061418867501 0.848669439509043
"ortho_1435" 206.412892449916 -0.0815231642718684 0.255674957353267 -0.318619246382114 0.75001525703186 0.86174348780811
"ortho_8085" 8.75448952787743 -0.432603103715417 0.58228017637743 -0.742185367774779 0.457975032691063 0.655976416919472
"ortho_4480" 16.8609696650787 0.219559350650549 0.440240436923749 0.498784889272731 0.617930933915662 0.779779597722034
"ortho_4479" 60.9409862712693 0.0510870826719633 0.278827970734453 0.184112109884285 0.853925506561475 0.924000084807584
"ortho_5713" 57.6178138224368 -1.44613336933766 0.371470929119337 -3.88971775719899 0.000100360878131132 0.000975724358225517
"ortho_5235" 608.050236130584 -0.214628250477534 0.218988306552182 -0.98002305387578 0.327074738953262 0.53366192834536
"ortho_2543" 16.5373057028716 -0.845422022552546 0.495947118425675 -1.70683056418714 0.0878535497302244 0.219258431805346
"ortho_2542" 242.666644454822 -0.310182669173932 0.180801208467833 -1.71529187412818 0.0862917276324987 0.216124918542443
"ortho_2541" 83.8890318253581 0.47767285368951 0.274822642360157 1.73776072772573 0.0822529832538355 0.209101849953011
"ortho_2540" 234.705594876612 -1.83984423771104 0.3356182534511 -5.48631282737145 4.10409841579121e-08 1.05955809100366e-06
"ortho_2539" 50.3134891695774 -0.271066659590362 0.320557806110457 -0.845895585316516 0.397610995496902 0.600865337073176
"ortho_2538" 35.954658223337 1.94865108343163 0.432063015511589 4.48663484938751 7.23569274450428e-06 0.000101780475349605
"ortho_7792" 3.35202231227563 1.70089040199222 1.0368455342842 1.57482452444868 0.11529695395275 0.264948332719643
"ortho_884" 112.876407666726 1.38747982695965 0.217008320298725 6.38925149712783 1.6669969904936e-10 7.02295050522378e-09
"ortho_7791" 14.0849729625259 0.122022604335175 0.49475691805922 0.246582767568411 0.805231142294161 0.894842167053406
"ortho_5114" 173.266768314066 0.45387864006415 0.181955488967882 2.49446323299307 0.012614779460641 0.0506505227466608
"ortho_5115" 166.245920636737 0.42113782786067 0.252769425159775 1.66624126868686 0.0956653693008013 0.23198578099633
"ortho_5116" 131.659500235806 0.0755703693908728 0.253988015359833 0.297501914259822 0.766083346751565 0.871457572627198
"ortho_5117" 195.946538450636 0.126933115606275 0.205920163839456 0.615898867255312 0.537961269224167 0.721028177871201
"ortho_5118" 531.20467151329 -0.999665078250738 0.184366029103193 -5.42346789018966 5.84537196944391e-08 1.46013598339974e-06
"ortho_5119" 687.961640503172 0.55983379215673 0.197904910784383 2.82874671353133 0.00467306669579508 0.023415105786978
"ortho_5120" 88.1447236668095 -0.730931509761738 0.317258956839381 -2.30538386728138 0.0211450842119865 0.0754875940586433
"ortho_3073" 41.5619000559448 1.17388789649917 0.335236826136236 3.49474452166629 0.000474515727294043 0.00358128269048659
