"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ortho_3719" 496.614887051606 -0.20465854727853 0.187626110764232 -1.09105196954656 0.275250015524373 0.503416227097276
"ortho_2173" 0.632646483790973 0.575025143760218 1.13128274456339 0.5164221540002 0.605559596035072 NA
"ortho_3198" 4.44818615299949 1.21779379292511 0.831460380272026 1.45890837120323 0.14459032878128 0.333349007383578
"ortho_7974" 60.3964770515776 0.683030121966095 0.251217763196 2.71864843147593 0.00655492381238341 0.0331583601214233
"ortho_1213" 104.022975937284 0.249707831913236 0.234180063484714 1.06580771883415 0.286510570918725 0.516462044224114
"ortho_8997" 66.2997379863921 -0.753795763969132 0.308695834455032 -2.44087834362613 0.0146515895912715 0.0622527148313533
"ortho_4560" 5.05063388207493 0.71850689833506 0.682659955617301 1.05114311433946 0.293192865006041 0.524120156400919
"ortho_1435" 206.412892449916 0.475990260694758 0.255034845719329 1.86639458364234 0.0619861803601395 0.183852530749444
"ortho_8085" 8.75448952787743 -0.0296668131944986 0.544131115396149 -0.05219061433358 0.958376811419606 0.980255446201379
"ortho_4480" 16.8609696650787 -0.308198430925908 0.423624443543179 -0.726825971544903 0.467332570959646 0.689615896832529
"ortho_4479" 60.9409862712693 0.778350983567505 0.28237754145024 2.75605227143329 0.00585036467277298 0.0303717361941842
"ortho_5713" 57.6178138224368 -0.348756067404315 0.338419904757235 -1.02813586701481 0.303885921043051 0.536328882741259
"ortho_5235" 608.050236130584 0.12341403042619 0.217896510294208 0.566439715449234 0.571094902957338 0.764106752763903
"ortho_2543" 16.5373057028716 -0.335455374586326 0.442792010860581 -0.754054386442743 0.450816565207501 0.677607394645865
"ortho_2542" 242.666644454822 0.403892424067128 0.17828114112175 2.26553886642918 0.0234796317611588 0.0893999648172181
"ortho_2541" 83.8890318253581 -0.0408699357557406 0.273938001946061 -0.148795664569483 0.881714871728932 0.94642686446959
"ortho_2540" 234.705594876612 -1.7937193805426 0.299974271483848 -5.97533335994509 2.29620149706238e-09 7.36524025648645e-08
"ortho_2539" 50.3134891695774 -0.0834879795605615 0.307150457906997 -0.27144058825701 0.786052188471493 0.897958884025941
"ortho_2538" 35.954658223337 2.06016120600617 0.505436285491076 4.05165504606205 5.08566076643816e-05 0.000601471723047463
"ortho_7792" 3.35202231227563 1.16457400322603 1.1003279827682 1.17096045878965 0.241614671359006 0.4635235697934
"ortho_884" 112.876407666726 0.908487641032074 0.233920314510919 3.88352157284464 0.000102954392763713 0.00108435049492925
"ortho_7791" 14.0849729625259 -0.283643512721063 0.475761190160492 -0.595008950535923 0.551837488075704 0.75043517729646
"ortho_5114" 173.266768314066 -0.607938291754631 0.176744844665658 -3.4399545230459 0.00058181193996789 0.00469217476918866
"ortho_5115" 166.245920636737 -0.391764856003471 0.249591957783054 -1.57056551512275 0.11628360537481 0.287500604471208
"ortho_5116" 131.659500235806 0.0314563279450979 0.250802366907681 0.12522787361402 0.900343150982034 0.95540172963858
"ortho_5117" 195.946538450636 -0.928417984239471 0.196339085151903 -4.72854142640846 2.26138489943263e-06 3.97290608472935e-05
"ortho_5118" 531.20467151329 -0.583793906141914 0.175625852342835 -3.32387092915839 0.000887772736697552 0.00662348857652411
"ortho_5119" 687.961640503172 0.045284947175538 0.197998188851016 0.228642041469709 0.819147145609476 0.916198392421218
"ortho_5120" 88.1447236668095 -0.0532754670255565 0.302125617092269 -0.176267249921508 0.860083989934284 0.935140204899238
"ortho_3073" 41.5619000559448 0.996824752203039 0.359717091697937 2.76967019811498 0.00561130788166799 0.0295500964813212
"ortho_3072" 60.7789348311488 2.07565514561569 0.771999216689682 2.65167933077683 0.00800925680271322 0.0386452345329775
"ortho_3825" 74.9708905387989 0.19573220137249 0.243486393187378 0.804124809530703 0.421324897699769 0.65308058460949
"ortho_3824" 188.386700614435 -0.16580799868196 0.239391393606839 -0.692812117068228 0.488427467010982 0.704600305050936
"ortho_3823" 203.153435554086 1.9075522243273 0.207485594615466 9.18795868418846 4.00366610383744e-20 6.64765579750891e-18
"ortho_3822" 51.9405762818513 -0.888366621887368 0.294836785303875 -3.01172843400339 0.00259764872291431 0.0160765688355326
"ortho_5091" 448.362432673115 -0.307911145904233 0.13855231293577 -2.22266472291706 0.0262384163459065 0.0963319217371955
"ortho_5090" 81.831619991536 -0.545738030546902 0.283408402945677 -1.92656268355507 0.0540341529316858 0.16597695278593
"ortho_3484" 15.3057436244949 0.521778895439027 0.514910804092209 1.01258947732286 0.311256288089431 0.544569885855642
"ortho_3483" 1.73830417044851 2.24645226975432 1.10037083363805 2.08295887269978 0.0372549725219302 0.126544367154314
"ortho_3482" 188.040017319761 0.175581150303319 0.254640359043287 0.689504129560216 0.490506075417246 0.706275369262581
"ortho_3481" 161.697938700229 -0.537124650777935 0.197520544118524 -2.71967200652092 0.00653466986914282 0.0330756631511664
"ortho_3480" 129.429195191905 0.775192751311995 0.227164335655959 3.41234696007857 0.000644060799870704 0.00510665435702726
"ortho_625" 4.99168327083652 0.6468194666804 0.703600879870887 0.918100359872159 0.35856632647726 0.593266833257021
"ortho_626" 154.693344044095 -0.458771305081586 0.190327668568674 -2.41044649071185 0.0159330083345779 0.0662675415408674
"ortho_627" 112.6544956791 -0.370587549508991 0.385362401572865 -0.961091242009357 0.336506292863277 0.571515429325416
