"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "color"
"Solyc00g500062.1" 16.7574331950866 -0.412835627727558 0.735697818850544 -0.561748484456339 0.574287395475029 0.78974990529135 "black"
"Solyc00g500063.1" 1268.43403443298 -0.414542912975494 0.250998186030167 -1.65154400981796 0.0986275420196482 0.285327011299958 "black"
"Solyc00g500065.1" 19.2701367891642 -0.320530818189681 0.825698493599907 -0.388426910386834 0.697700132903737 0.860140434180424 "black"
"Solyc00g500066.1" 2.57779874526339 -0.848664086250846 1.12894375745979 -0.761456427132816 0.446384495054199 0.694942718649458 "black"
"Solyc00g500152.1" 9.74400177797573 -1.32402072054708 0.601379564905426 -2.19627508338658 0.0280722600388413 0.120728351856682 "black"
"Solyc00g500183.1" 23.2756914783142 0.409465621678261 0.454446700762346 0.901116022241376 0.36752663487251 0.625568202100867 "black"
"Solyc00g500184.1" 6.79464330172025 0.129756431748691 0.664761189846045 0.19346246269024 0.846596801111833 0.936866284027223 "black"
"Solyc00g500185.1" 3.7749367663583 0.364923072410365 0.887747392072888 0.417177642826591 0.676548476908899 0.848833985877264 "black"
"Solyc00g014800.1" 8.63430413656765 -1.46674113962799 0.817492529310277 -1.79297335597734 0.0729771845142012 0.232213834168062 "black"
"Solyc00g014790.2" 7.89289464943143 0.213494708627354 0.645732012060509 0.331713092489273 0.740105913559472 0.883637730761723 "black"
"Solyc00g094540.1" 2.88140632092587 -0.896160950874171 1.08174699712333 -0.827560003740291 0.407919727113493 0.662396801908798 "black"
"Solyc00g094530.1" 3.3542627301508 -0.580171911451167 1.1076499468152 -0.530795481637243 0.595560511483629 0.802150164327305 "black"
"Solyc00g500228.1" 2.15834185528016 -0.242805472570758 1.18081203585925 -0.205474353230154 0.837201533759802 0.931987133887536 "black"
"Solyc00g020020.2" 4.26627614136788 0.621244000579646 0.98516431145055 0.641559167650796 0.521159452240281 0.752248993020262 "black"
"Solyc00g020010.1" 5.10542075779567 1.22316287759259 0.86458826922812 1.42349877033553 0.154591618327275 0.381059208985653 "black"
"Solyc00g020000.1" 5.69064207275234 -0.384979563738942 0.73905824048049 -0.520603533464348 0.602642987333955 0.807089836795444 "black"
"Solyc00g019980.2" 7.57266804746735 -0.205560374455284 0.652883518540095 -0.314843769890217 0.752880276904933 0.89079555532705 "black"
"Solyc00g019970.2" 3.02475456471204 0.809234507047629 0.995086394252954 0.822773745483436 0.410636669447889 0.664717685087455 "black"
"Solyc00g021640.2" 9.94576264130359 -0.999838528530939 0.630773656181836 -1.58328489020787 0.11335654524776 0.313536659839263 "black"
"Solyc00g021630.1" 27.4227090569671 -0.806884885993378 0.586870585459938 -1.37534877505824 0.16902334180433 0.401642867696394 "black"
"Solyc00g500356.1" 2.6002836773077 -0.331183698549635 1.1465476776766 -0.288117924230518 0.773256472567719 0.901579768391642 "black"
"Solyc01g005000.3" 254.81157301576 -0.400592230595328 0.286635625449759 -1.3975036105284 0.162262181683769 0.392422014043745 "black"
"Solyc01g005010.4" 31.5312021755958 -0.24350072832177 0.402419520018163 -0.605262352392043 0.545004691917525 0.770482717572683 "black"
"Solyc01g005020.3" 505.290485505272 0.11230307719207 0.191392090068248 0.586714464729986 0.557395491436776 0.778156000286371 "black"
"Solyc01g005030.4" 424.970734711436 -0.0776559628520213 0.160763190010221 -0.482686524675213 0.629318332669866 0.822366111520458 "black"
"Solyc01g005060.3" 97.1692895328963 1.39289483955493 0.397870039466477 3.49931220746129 0.000466460053334103 0.00494064816749555 "red"
"Solyc01g005070.3" 2.53302558578957 3.44575860815808 1.22360464131677 2.53116179197373 0.0113685395470994 0.0610471589805372 "black"
"Solyc01g005080.3" 214.766858837789 0.83415879987978 0.194618076900451 4.28545206963529 1.8236796468448e-05 0.000333084729539177 "black"
"Solyc01g005100.4" 66.0349560336631 -0.246843952172201 0.234399229805509 -1.05314394250269 0.292275025891792 0.552018766406066 "black"
"Solyc01g005110.3" 115.93321938885 0.261176301382716 0.263514543398693 0.991833422355572 0.321278790853384 0.581855479976807 "black"
"Solyc01g005120.3" 92.8971213390368 0.843885639013834 0.215108790615274 3.92284948291533 8.75078243898622e-05 0.00125387398336854 "black"
"Solyc01g005130.2" 242.831939604991 -0.988225469425653 0.266192397161788 -3.71261925981834 0.000205125350618016 0.0025101303042564 "black"
"Solyc01g005140.3" 14.7151824661976 0.13364936672872 1.05101036881911 0.204881006928443 0.837665094723003 0.932291545990719 "black"
"Solyc01g005160.4" 23.1399281307138 2.58467023433442 0.778170564398331 3.29181809267536 0.000995419750239489 0.00896106187273879 "red"
"Solyc01g005210.4" 418.945082228597 -1.20983722711449 0.212215864771142 -5.70092362047309 1.19160021615097e-08 5.04847296760634e-07 "blue"
"Solyc01g005220.3" 153.679985138411 0.39803141639415 0.490751463649125 0.811507948784455 0.417074029993309 0.671036703612816 "black"
"Solyc01g005240.4" 288.77915312037 0.20676058226827 0.177289637334119 1.16611114021883 0.243569513105966 0.499010017843559 "black"
"Solyc01g005250.4" 264.95888274108 0.0639190430057395 0.189671414399562 0.336842143386949 0.736235901811663 0.881902335175443 "black"
"Solyc01g005253.1" 22.9611574181011 -0.0651977731720546 0.45540087742634 -0.143823108790154 0.885640154413069 0.954326851971433 "black"
"Solyc01g005257.1" 36.8874791599445 0.0271709341836899 0.407404714987107 0.0671614329326586 0.946453187831123 0.979566937563268 "black"
"Solyc01g005280.3" 58.2381248317755 0.253703236185415 0.412469210880767 0.615271983026016 0.538375116832677 0.765550292989474 "black"
"Solyc01g005290.4" 41.8045383232669 -1.24963821448262 0.717230780402591 -1.75361571630511 0.0794963761990434 0.246506625912178 "black"
"Solyc01g005300.4" 354.891977376839 -3.06068599272962 0.226764953779592 -13.4872363483891 1.85940722458719e-41 2.60529515125017e-38 "blue"
"Solyc01g005330.3" 1067.21261569214 0.0137169119720304 0.129917983571436 0.105561911707647 0.915929945899699 0.967209400235169 "black"
"Solyc01g005340.3" 164.257294343451 -0.22751084451108 0.193193278701523 -1.17734342120134 0.239058462571432 0.49373670374936 "black"
"Solyc01g005370.3" 247.448141618521 -0.565585558721827 0.30706107662174 -1.84219862943486 0.0654461008577458 0.215690644224722 "black"
"Solyc01g005380.3" 49.3665992477789 -0.0120667402250918 0.287378891165884 -0.0423594914252013 0.966212120505076 0.988393903450334 "black"
"Solyc01g005390.3" 7.0942918000927 1.78434165542417 0.964158533387195 1.83861062742039 0.0659724770303949 0.216552227146624 "black"
"Solyc01g005400.3" 11.9546990360721 -0.530597306637445 0.568974097649049 -0.932543615758988 0.351055657109458 0.610380054055941 "black"
"Solyc01g005410.4" 76.4383677446331 -0.22783906151129 0.307021388991171 -0.742638706607991 0.457700447750876 0.703735066866372 "black"
"Solyc01g005420.2" 21.534036113634 1.12614694519756 0.577467925802839 1.94016519624383 0.0523596167423619 0.185227455729156 "black"
"Solyc01g005430.3" 146.817494165411 0.498495849055963 0.195214630771312 2.55407563260636 0.0106470126626674 0.0580789211320588 "black"
"Solyc01g005440.4" 952.171718710201 -0.564501801189071 0.233030473358237 -2.42233925984885 0.0154209463101589 0.0773057201175768 "black"
"Solyc01g005450.3" 14.0567247360211 0.349517627404255 0.507306958751773 0.686508622461953 0.492392428908849 0.730664129758004 "black"
"Solyc01g005460.4" 32.9737336336035 0.887819581689247 0.544559408309587 1.62429365136014 0.104313151549367 0.296420612339559 "black"
"Solyc01g005470.3" 5.09248805532199 1.65212347585377 0.729384556038496 2.24241600111033 0.024934498602136 0.110634500017982 "black"
"Solyc01g005480.3" 24.4175706127579 0.246249272275192 0.353063307303401 0.6965619183294 0.48607699500994 0.725828107330509 "black"
"Solyc01g005490.3" 164.414425769409 -0.222313823762911 0.181780843295967 -1.22287448218299 0.221377107975707 0.471535050571491 "black"
"Solyc01g005520.4" 197.227233239147 0.326385514880312 0.239324779039985 1.36338339468556 0.172761711634501 0.406244753706829 "black"
"Solyc01g005530.3" 18.6117469155743 -0.485974515243815 0.431871175305678 -1.12533473141042 0.260447217443173 0.517046110450894 "black"
"Solyc01g005540.4" 89.1419922430065 0.172525411856544 0.23603850393947 0.730354511730122 0.465173515640004 0.709513228605129 "black"
"Solyc01g005550.3" 345.233022460377 0.309611903513728 0.193678130058336 1.59844057536614 0.109944960562401 0.307088600229561 "black"
"Solyc01g005560.3" 1434.72463034622 0.219865886169585 0.132035502782401 1.6653836351981 0.0958362421961693 0.279584135472941 "black"
"Solyc01g005570.4" 283.918300422947 -0.219972631110223 0.190456692444438 -1.15496643931058 0.248104170035174 0.503602172952191 "black"
"Solyc01g005580.2" 404.34940700919 0.0367966721533253 0.148994167823302 0.247210505464434 0.80474531540092 0.916708484391869 "black"
"Solyc01g005590.2" 106.7678358449 -0.0716411209971897 0.481829314306819 -0.148929276934699 0.88160943917599 0.952714280092694 "black"
