"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"T459_00005" 0.363504103624259 0.111380378307321 1.20157843959406 0.0584888945126414 0.953359208246944 NA
"T459_00007" 0.410713176760504 -0.998575715712677 1.08994007104871 -0.719851340297758 0.471616530610237 NA
"T459_00010" 19.7810504134391 -1.64857295841171 0.573101711248514 -2.86484446758143 0.00417214105591004 0.0250856925521476
"T459_00011" 34.0109490879418 -0.487813671822111 0.314622606261129 -1.54995144027705 0.121153171650406 0.310867452080937
"T459_00012" 1.78132762480886 0.296165117857396 1.00526178552372 0.296069437479902 0.767177053551471 0.90021859620957
"T459_00013" 400.689621064936 -0.111431727910853 0.169397806420379 -0.658047558666581 0.510507571671906 0.742538820861722
"T459_00014" 18.4615504834686 -0.336046862946668 0.827964481342707 -0.467266502767656 0.64030921906315 0.830627120988848
"T459_00015" 48.7906726370684 0.238282450016148 0.338013127534134 0.705037564738311 0.480786859254952 0.721238726633735
"T459_00016" 417.747643508521 0.738678827305118 0.153262092945321 4.81963390056657 1.43821897498857e-06 2.71414351518485e-05
"T459_00017" 167.483251695482 0.318241327871187 0.266324393860983 1.19450861288487 0.232279073626648 0.475578687242881
"T459_00018" 1513.34265504906 -0.0726821025305024 0.231527994446099 -0.313898160235559 0.753598387736485 0.893081866617601
"T459_00019" 106.607535149945 2.24600572956553 0.313314683729683 7.15334259319226 8.4689885742574e-13 4.82419647616084e-11
"T459_00020" 474.514071599981 -0.0259568960981215 0.238186021601779 -0.10888720335174 0.913291956537341 0.967938316114996
"T459_00021" 216.859370689786 -0.0625475245106208 0.157034767831422 -0.398213604455457 0.690472738557612 0.859686475588582
"T459_00022" 119.538987448108 -1.08943349247211 0.303546756399548 -3.59376762717146 0.000325930539571035 0.00306915161702877
"T459_00023" 3.45279371017239 1.90537345901989 0.875248454809552 2.09936714441983 0.0357845486595852 0.129974367144379
"T459_00024" 4.43637709878305 2.7506238671738 1.09458745418255 2.61950736518153 0.00880568711706442 0.0446996670134943
"T459_00025" 52.0141434859049 -0.018041636553859 0.281469269979108 -0.0643760607865845 0.948670791204227 0.983191085347582
"T459_00026" 82.7263961163185 -0.357142857733236 0.229200654365631 -1.55990620530169 0.118782047866911 0.307097889084648
"T459_00027" 23.4091403155851 0.752473113495223 0.733474804506594 1.0265456432091 0.304634460699179 0.559007187851454
"T459_00028" 2.41994621454218 -0.399497895768385 1.01774341212668 -0.396534903377652 0.691710464435058 0.859901149363876
"T459_00029" 11.1495446883082 5.20731295752222 0.964691465087379 5.23067509939132 1.68892116505936e-07 3.8249755868184e-06
"T459_00030" 2.30888012322774 1.32451520645092 1.22089167107672 1.12685679242917 0.259803034042311 0.509207888524994
"T459_00031" 424.515678029583 0.6272350465913 0.26154763343252 2.39791519354878 0.0164886823002358 0.0724554890634384
"T459_00033" 3.4156681016083 -0.171783843002966 0.903002880310011 -0.181543001142741 0.855941383829891 0.940597494170237
"T459_00034" 155.034733312616 -0.328685160164927 0.280273451724463 -1.17321800145458 0.240708394965737 0.485530841176823
"T459_00035" 1590.86344660043 2.45875762419154 0.301473976729688 8.15544166958771 3.47906110222033e-16 3.12659505754393e-14
"T459_00036" 20.2695292690342 0.282867132023818 0.415508130815429 0.679883297452234 0.496578358236966 0.732113971971088
"T459_00037" 1.76438685045266 -2.52801833447257 1.16769103722212 -2.02603756737816 0.042760935046139 0.148551921656816
"T459_00038" 164.623769946178 0.495744062100137 0.240616193438511 2.0602908149926 0.0393707474791474 0.139603648358831
"T459_00039" 104.554235871458 0.491352559916112 0.378320510393614 1.29844227592828 0.194135399856607 0.425886001622188
"T459_00040" 179.969354205703 0.115087812936692 0.243524479996577 0.472628898754167 0.636477961170722 0.828222147687747
"T459_00041" 2.2317183278474 -0.79071662594527 0.944000320308068 -0.823710761711324 0.410103923144306 0.663174700142906
"T459_00042" 152.618412241889 0.0414894331818454 0.287706560649594 0.144107174763912 0.88541583921967 0.954395684763856
"T459_00043" 54.0170608637163 0.500292727875607 0.362100008225531 1.38152763112247 0.167116788058465 0.385140432880166
"T459_00044" 31.7767248828104 0.0486422186702893 0.312518347304046 0.155626942922616 0.876327086315927 0.950038779904768
"T459_00045" 12.6385232849334 0.264133001479929 0.512038765000485 0.516025330487792 0.605836717744868 0.807299281032656
"T459_00047" 0.436142689395263 -0.712707179264838 1.22328052178355 -0.507624332555986 0.611716822916805 NA
"T459_00048" 191.071083882845 0.124151112120657 0.180910379955279 0.686324854517764 0.492508279165465 0.728954590495228
"T459_00049" 211.717780996172 -0.246690852426859 0.239805507702962 -1.02912029252839 0.303423151574251 0.557877922841802
"T459_00050" 44.272516395928 -0.289908509207055 0.366105490568161 -0.793450472293142 0.427515414378386 0.678490601490532
"T459_00052" 13.4039113323348 0.246121762575638 0.501230340220918 0.491372762607481 0.623162824990071 0.81883834048131
"T459_00053" 57.5917994613418 0.182754119250399 0.324927589833451 0.562630238522085 0.573686696842005 0.786540903401914
"T459_00054" 11.7256856105912 0.692483765799419 0.542069364723653 1.27678052714927 0.201679742214526 0.436754725305722
"T459_00056" 129.170721826051 -0.718082746906123 0.237986135268964 -3.0175671313113 0.00254812595625264 0.0168657332242063
"T459_00057" 21.492459157393 -1.4781139889581 0.488644780214332 -3.01203654552955 0.0025950135404433 0.0171270893669258
"T459_00058" 37.1459280655242 -0.52987837958207 0.322093588741779 -1.64065495306217 0.100869060792941 0.276240964860904
"T459_00059" 24.5847196627981 -1.17527148304206 0.432051808171225 -2.70764534698349 0.00677623916855994 0.0366380010886537
"T459_00060" 536.33808433247 -0.356967913311698 0.178938491829418 -1.99484596761028 0.0460596821124782 0.156833344665865
