"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"Solyc00g500080.1" 0 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500081.1" 0 0 0 0 1 0 0 1 0 0 0 0
"Solyc00g500082.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500083.1" 0 1 0 0 0 0 0 0 0 0 0 0
"Solyc00g500084.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500085.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500086.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500087.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500088.1" 1 0 0 1 0 0 0 0 0 0 0 0
"Solyc00g500089.1" 1 4 0 0 1 0 0 3 0 0 0 0
"Solyc00g500090.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500091.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g011670.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g011660.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500092.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500093.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500094.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500095.1" 0 0 0 0 0 0 1 0 0 0 0 0
"Solyc00g500096.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g011560.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500097.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500098.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500099.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500100.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500101.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500102.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g153980.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g309530.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g164580.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g210860.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g025400.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g022070.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g022080.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g022090.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g022100.1" 3 0 1 0 0 1 0 0 0 0 0 0
"Solyc00g500103.1" 1 1 1 0 0 1 1 1 1 0 0 1
"Solyc00g072800.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500104.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500105.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500106.1" 0 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500107.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500108.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g281110.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500109.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500110.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500111.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500112.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g142160.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g142170.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500113.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500114.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500115.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500116.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500117.1" 1 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g500118.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500119.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500120.1" 0 0 1 1 0 0 0 3 0 0 0 0
"Solyc00g500121.1" 0 1 0 0 4 3 0 7 2 0 0 0
"Solyc00g015600.1" 0 0 0 0 0 0 0 2 0 0 0 0
"Solyc00g500122.1" 0 0 1 0 0 0 0 0 0 0 0 0
"Solyc00g007330.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g007340.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g007350.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500123.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500124.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500125.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500126.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500127.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500128.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500129.1" 0 0 0 0 2 1 0 0 1 0 0 0
"Solyc00g500130.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500131.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500132.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500133.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500134.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500135.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500136.1" 0 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500137.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500138.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500139.1" 0 0 0 1 0 0 0 1 0 0 0 0
"Solyc00g500140.1" 2 3 2 3 4 1 0 0 2 0 1 0
"Solyc00g500141.1" 0 1 0 0 0 0 0 0 0 0 0 0
"Solyc00g500142.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500143.1" 0 0 1 0 3 1 0 2 0 0 0 0
"Solyc00g500144.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500145.1" 1 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500146.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500147.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500148.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500149.1" 0 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500150.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500151.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500152.1" 12 9 7 19 32 10 6 14 9 5 3 2
"Solyc00g500153.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500154.1" 0 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g500155.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500156.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500157.1" 0 0 0 0 0 0 0 0 0 1 0 0
"Solyc00g500158.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500159.1" 0 0 0 0 0 1 0 0 0 0 0 0
"Solyc00g500160.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500161.1" 0 0 0 0 0 5 1 1 0 0 0 0
"Solyc00g500162.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500163.1" 0 0 1 0 2 1 0 0 0 0 0 0
"Solyc00g500164.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500165.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g112190.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500166.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500167.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g230080.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g316530.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g069880.2" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500168.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g013100.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g013110.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g126010.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g126000.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g125990.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g125980.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g244300.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g244290.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g244280.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500169.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500170.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g013170.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g013180.1" 0 0 0 0 0 0 0 1 0 0 0 0
"Solyc00g500171.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500172.1" 0 0 0 0 0 0 0 0 0 0 0 0
